EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
North Pacific Oak Woodland,Tr North Pacific Oak Woodland,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,115200
Rocky Mountain Aspen Forest and Woodland,Tr Rocky Mountain Aspen Forest and Woodland,Tree,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,227503
Central and Southern California Mixed Evergreen Woodland,Tr Central and Southern California Mixed Evergreen Woodland,Tree,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1805593
California Coastal Redwood Forest,Tr California Coastal Redwood Forest,Tree,Conifer,Redwood Forest and Woodland,SAF 232: Redwood,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5328528
Columbia Plateau Western Juniper Woodland and Savanna,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3770437
Great Basin Pinyon-Juniper Woodland,Tr Great Basin Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,15336871
Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,386141
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 231: Port Orford-Cedar,Tree-dominated,Open tree canopy,Evergreen open tree canopy,93869
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,25960
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy,12434951
