EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
North Pacific Oak Woodland,Tr North Pacific Oak Woodland,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,1305840
Northwestern Great Plains Aspen Forest and Parkland,Tr Northwestern Great Plains Aspen Forest and Parkland,Tree,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,670403
Northern Rocky Mountain Western Larch Savanna,Tr Northern Rocky Mountain Western Larch Savanna,Tree,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,578842
Rocky Mountain Aspen Forest and Woodland,Tr Rocky Mountain Aspen Forest and Woodland,Tree,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,26995375
Rocky Mountain Bigtooth Maple Ravine Woodland,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,Hardwood,Bigtooth Maple Woodland,SRM 418: Bigtooth Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy,2344991
Western Great Plains Dry Bur Oak Forest and Woodland,Tr Western Great Plains Dry Bur Oak Forest and Woodland,Tree,Hardwood,Bur Oak Woodland and Savanna,SAF 236: Bur Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,2478144
Central and Southern California Mixed Evergreen Woodland,Tr Central and Southern California Mixed Evergreen Woodland,Tree,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1805593
California Coastal Redwood Forest,Tr California Coastal Redwood Forest,Tree,Conifer,Redwood Forest and Woodland,SAF 232: Redwood,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5746542
Colorado Plateau Pinyon-Juniper Woodland,Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,82994011
Columbia Plateau Western Juniper Woodland and Savanna,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy,14733686
East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,7166990
Great Basin Pinyon-Juniper Woodland,Tr Great Basin Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,52778883
Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1969334
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 231: Port Orford-Cedar,Tree-dominated,Open tree canopy,Evergreen open tree canopy,638477
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,28800
Madrean Encinal,Tr Madrean Encinal,Tree,Conifer-Hardwood,Juniper-Oak,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5769340
