EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
North Pacific Oak Woodland,Tr North Pacific Oak Woodland,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,4073
Northwestern Great Plains Aspen Forest and Parkland,Tr Northwestern Great Plains Aspen Forest and Parkland,Tree,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,5
Northern Rocky Mountain Western Larch Savanna,Tr Northern Rocky Mountain Western Larch Savanna,Tree,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,894
Rocky Mountain Aspen Forest and Woodland,Tr Rocky Mountain Aspen Forest and Woodland,Tree,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,78409
Rocky Mountain Bigtooth Maple Ravine Woodland,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,Hardwood,Bigtooth Maple Woodland,SRM 418: Bigtooth Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy,5
Western Great Plains Dry Bur Oak Forest and Woodland,Tr Western Great Plains Dry Bur Oak Forest and Woodland,Tree,Hardwood,Bur Oak Woodland and Savanna,SAF 236: Bur Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6338
Central and Southern California Mixed Evergreen Woodland,Tr Central and Southern California Mixed Evergreen Woodland,Tree,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,17553
California Coastal Redwood Forest,Tr California Coastal Redwood Forest,Tree,Conifer,Redwood Forest and Woodland,SAF 232: Redwood,Tree-dominated,Open tree canopy,Evergreen open tree canopy,132079
Colorado Plateau Pinyon-Juniper Woodland,Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,27690
Columbia Plateau Western Juniper Woodland and Savanna,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy,37626
East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,1310
Great Basin Pinyon-Juniper Woodland,Tr Great Basin Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3860
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 231: Port Orford-Cedar,Tree-dominated,Open tree canopy,Evergreen open tree canopy,297
Madrean Encinal,Tr Madrean Encinal,Tree,Conifer-Hardwood,Juniper-Oak,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,98089
Madrean Lower Montane Pine-Oak Forest and Woodland,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,Tree,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,11662
Madrean Pinyon-Juniper Woodland,Tr Madrean Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,224750
Madrean Upper Montane Conifer-Oak Forest and Woodland,Tr Madrean Upper Montane Conifer-Oak Forest and Woodland,Tree,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1547
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy,6902
Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,5180
Mediterranean California Mixed Oak Woodland,Tr Mediterranean California Mixed Oak Woodland,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,40823
Mediterranean California Lower Montane Conifer Forest and Woodland,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,Tree,Conifer,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,16035
California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 247: Jeffrey Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,2481
Mediterranean California Red Fir Forest,Tr Mediterranean California Red Fir Forest,Tree,Conifer,Red Fir Forest and Woodland,SAF 207: Red Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,4349
Mediterranean California Subalpine Woodland,Tr Mediterranean California Subalpine Woodland,Tree,Conifer,Subalpine Woodland and Parkland,SAF 256: California Mixed Subalpine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,654
Mediterranean California Mesic Serpentine Woodland,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,Tree,Conifer,Chaparral,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,2
North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tree,Conifer,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,1572
North Pacific Seasonal Sitka Spruce Forest,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,Tree,Conifer,Sitka Spruce Forest,SAF 223: Sitka Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,22853
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,8953
