EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
Recently Logged-Herb and Grass Cover,He Recently Logged-Herb and Grass Cover,Herb,Grassland,Transitional Herbacous Vegetation,LF 62: Recently Logged - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,3631
Recently Logged-Shrub Cover,Sh Recently Logged-Shrub Cover,Shrub,Shrubland,Transitional Shrub Vegetation,LF 63: Recently Logged - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,373
Recently Logged-Tree Cover,Tr Recently Logged-Tree Cover,Tree,Conifer,Transitional Forest Vegetation,LF 64: Recently Logged - Tree,Tree-dominated,Open tree canopy,Evergreen open tree canopy,617
Recently Burned-Herb and Grass Cover,He Recently Burned-Herb and Grass Cover,Herb,Grassland,Transitional Herbacous Vegetation,LF 66: Recently Burned - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,1975
Recently Burned-Shrub Cover,Sh Recently Burned-Shrub Cover,Shrub,Shrubland,Transitional Shrub Vegetation,LF 67: Recently Burned - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,2360
Recently Burned-Tree Cover,Tr Recently Burned-Tree Cover,Tree,Conifer,Transitional Forest Vegetation,LF 68: Recently Burned - Tree,Tree-dominated,Open tree canopy,Evergreen open tree canopy,2122
Recently Disturbed Other-Herb and Grass Cover,He Recently Disturbed-Herb and Grass Cover,Herb,Grassland,Transitional Herbacous Vegetation,LF 98: Recently Distrubed Other - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,26
Recently Disturbed Other-Shrub Cover,Sh Recently Disturbed-Shrub Cover,Shrub,Shrubland,Transitional Shrub Vegetation,LF 99: Recently Disturbed Other - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,4
Recently Disturbed Other-Tree Cover,Tr Recently Disturbed-Tree Cover,Tree,Conifer,Transitional Forest Vegetation,LF 100: Recently Disturbed Other - Tree,Tree-dominated,Open tree canopy,Evergreen open tree canopy,6
Southern Appalachian Grass Bald,Sh Southern Appalachian Grass and Shrub Bald,Herb,Grassland,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,80
Northern Atlantic Coastal Plain Dune and Swale Grassland,Sh Northern Atlantic Coastal Plain Dune and Swale,Herb,Grassland,Atlantic Dunes and Grasslands,LF 57: Dunes and Maritime Grasslands,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,4830
Atlantic Coastal Plain Peatland Pocosin and Canebrake Shrubland,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,Shrub,Riparian,Pocosin,LF 48: Pocosin,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,309
Open Water,Ba Open Water,Water,Open Water,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,99222
Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,LF 20: Developed,Non-vegetated,Non-vegetated,Developed,91
Developed-Low Intensity,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,1089
Developed-Medium Intensity,Bau Developed-Medium Intensity,Developed,Developed-Medium Intensity,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,161
Developed-High Intensity,Bau Developed-High Intensity,Developed,Developed-High Intensity,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,15
Developed-Roads,Bau Developed-Roads,Developed,Developed-Roads,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,6962
Northeastern Interior Dry-Mesic Oak Forest,Tr Northeastern Interior Dry-Mesic Oak Forest,Tree,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,61073
Southern Appalachian Northern Hardwood Forest,Tr Southern Appalachian Northern Hardwood Forest,Tree,Hardwood,Yellow Birch-Sugar Maple Forest,SAF 55: Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,7336
North-Central Interior Dry-Mesic Oak Forest and Woodland,Tr North-Central Interior Dry-Mesic Oak Forest and Woodland,Tree,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,115
North-Central Interior Beech-Maple Forest,Tr North-Central Interior Beech-Maple Forest,Tree,Hardwood,Beech-Maple-Basswood Forest,SAF 25: Sugar Maple-Beech-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,101
Southern Appalachian Oak Forest,Tr Southern Appalachian Oak Forest,Tree,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,71258
Southern Piedmont Mesic Forest,Tr Southern Piedmont Mesic Forest,Tree,Hardwood,White Oak-Beech Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,10719
Allegheny-Cumberland Dry Oak Forest and Woodland,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,5401
Southern and Central Appalachian Cove Forest,Tr Southern and Central Appalachian Cove Forest,Tree,Hardwood,Beech-Maple-Basswood Forest,SAF 58: Yellow Poplar-Eastern Hemlock,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,74299
Central and Southern Appalachian Montane Oak Forest,Tr Central and Southern Appalachian Montane Oak Forest,Tree,Hardwood,Montane Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,45912
South-Central Interior Mesophytic Forest,Tr South-Central Interior Mesophytic Forest,Tree,Hardwood,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,4911
Northern Atlantic Coastal Plain Hardwood Forest,Tr Northern Atlantic Coastal Plain Hardwood Forest,Tree,Hardwood,Coastal Plain Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,23065
Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Tr Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Tree,Hardwood,Coastal Plain Oak Forest,SAF 72: Southern Scrub Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,3135
Appalachian Shale Barrens,Tr Appalachian Shale Barrens,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,164
Piedmont Hardpan Woodland and Forest,Tr Piedmont Hardpan Woodland and Forest,Tree,Hardwood,Post Oak Woodland and Savanna,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,418
Southern Atlantic Coastal Plain Mesic Hardwood Forest,Tr Southern Atlantic Coastal Plain Mesic Hardwood Forest,Tree,Hardwood,Sweetgum-Water Oak Forest,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,17750
Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Tr Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Tree,Conifer,Longleaf Pine Woodland,SAF 71: Longleaf Pine-Scrub Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,21011
Atlantic Coastal Plain Upland Longleaf Pine Woodland,Tr Atlantic Coastal Plain Upland Longleaf Pine Woodland,Tree,Conifer,Longleaf Pine Woodland,SAF 71: Longleaf Pine-Scrub Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,23348
Central and Southern Appalachian Spruce-Fir Forest,Tr Central and Southern Appalachian Spruce-Fir Forest,Tree,Conifer,Spruce-Fir-Hardwood Forest,SAF 30: Red Spruce-Yellow Birch,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,6853
Southern Appalachian Montane Pine Forest and Woodland,Tr Southern Appalachian Montane Pine Forest and Woodland,Tree,Conifer,Pitch Pine Woodlands,SAF 51: White Pine-Chestnut Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3061
Southern Appalachian Low-Elevation Pine Forest,Tr Southern Appalachian Low-Elevation Pine Forest,Tree,Conifer,Virginia Pine Forest,SAF 79: Virginia Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,1915
Southern Coastal Plain Mesic Slope Forest,Tr Southern Coastal Plain Mesic Slope Forest,Tree,Hardwood,Sweetgum-Water Oak Forest,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,538
Central Atlantic Coastal Plain Maritime Forest,Tr Central Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,Maritime Forest,SAF 74: Cabbage Palmetto,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,347
Southern Piedmont Dry Pine Forest,Tr Southern Piedmont Dry Pine Forest,Tree,Conifer,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,654
Central Appalachian Dry Pine Forest,Tr Central Appalachian Dry Pine Forest,Tree,Conifer,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,799
Appalachian Hemlock Forest,Tr Appalachian Hemlock Forest,Tree,Conifer,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,303
Southern Ridge and Valley / Cumberland Dry Calcareous Forest,Tr Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Tree,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,3930
Central Appalachian Pine Rocky Woodland,Tr Central Appalachian Rocky Pine Woodland,Tree,Conifer,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3928
Northern Atlantic Coastal Plain Maritime Forest,Tr Northern Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,Maritime Forest,SAF 81: Loblolly Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,2967
Southern Atlantic Coastal Plain Maritime Forest,Tr Southern Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,Maritime Forest,SAF 74: Cabbage Palmetto,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,2750
Central Appalachian Alkaline Glade and Woodland,Tr Central Appalachian Alkaline Glade and Woodland,Tree,Conifer-Hardwood,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,250
Southern Piedmont Dry Oak Forest,Tr Southern Piedmont Dry Oak Forest,Tree,Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,4375
Southern Appalachian Shrub Bald,Sh Southern Appalachian Grass and Shrub Bald,Shrub,Shrubland,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,677
Northern Atlantic Coastal Plain Dune and Swale Shrubland,Sh Northern Atlantic Coastal Plain Dune and Swale,Shrub,Shrubland,Atlantic Dunes and Grasslands,LF 57: Dunes and Maritime Grasslands,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,60
